qa_id,question,answer,context,is_question_valid,is_answer_correct
201371563437250941952183009930756192488,What team acquired Moon in November 2012?,Los Angel," by the Bobcats. Moon's final NBA game was played on April 26th, 2012 in a 84-104 loss to the New York Knicks where he recorded 4 points, 2 assists, and 8 rebounds. D-League and International career[] In November 2012, Moon was re-acquired by the Los Angel",1,2
297312679585259251012559634802103061306,What percentage of his 3-point shooting was career-best?,42%,"mber and mid-February due to right knee soreness. Despite only appearing in 36 games during the 2017-18 season, Parsons shot a career-best 42% from 3-point range. Parsons earned a starting spot for the 2018-19 season out of training camp, but only played i",1,1
16296268181687352496876628240343341226,When was the All-Star Game played?,"April 9, 1978","nd NBA All-Star Games Scored a career-high 73 points against Detroit (April 9, 1978) Scored a then-NBA record 32 points in the second quarter against Detroit Pistons, a record that was broken by George Gervin (33 against New Orleans Jazz on the same day) w",1,1
213972735753397907526067509894938227176,What show did he host for Fox Sports Net?,The Best Damn Sports Show Period,"rs, Bulls, Panathinaikos, and Lakers. He was a long-time host of the former Fox Sports Net show The Best Damn Sports Show Period. He is a vegan activist, chef, and wellness entrepreneur. Contents 1 Early life and college career 2 Professional career 2.1 De",1,1
102713058998228980789598438116921690411,What is the name of the past team?,,ts 1 History 2 NWBL Pro League teams 2.1 Past teams 2.2 Champions 3,1,2
244755937218209313023354570032161001136,What team did Salley play for?,Pistons,"s in the first round of the 1986 NBA Draft out of Georgia Tech. After joining the Pistons, he became close friends with Adrian Dantley, who taught him proper nutrition, how to exercise, and how to conduct himself off the court. Salley, for his part, called",1,1
124816016809269001296793411153577500806,When did the Silver Stars fall short?,2003-2006," Antonio, Texas. The team's name was changed to the San Antonio Silver Stars and would change its team colors to the silver and black motif used by the Spurs. The Stars Fall Short (2003-2006)[] Immediately after moving, the new Silver Stars made major rost",1,1
88443796525737182727696021875580615438,How did the Rochester Americans begin plying?,,mmunity War Memorial Arena (now Blue Cross Arena at the War Memorial) opened in 1955 to join the American Hockey League. Rochester was awarded a new franchise in the American Hockey League in 1956 after Pittsburgh withdrew. The Rochester Americans began pl,1,2
115161051697553857062720907899861886874,When did the Spurs move to San Antonio?,,"o Dydek. For the first four seasons (2003-2006) after moving to San Antonio, the franchise was unable to change its old losing trend and did not make the playoffs, in sharp contrast to their current NBA counterpart, the San Antonio Spurs. From 1997-2002, t",1,2
75779899825434825881545929968499682947,What team won the series four games to three?,Spurs,"sted games one, two, six, and seven if all were necessary). The Spurs won the series four games to three in the first NBA Finals to go to a Game 7 since 1994 and the last until 2010, winning their third NBA championship. It also marked the Pistons' first N",1,1
241757734594560705730894590292831313168,Which team had the number 1 seed in the western conference?,Phoenix Mercury,"the Western Finals. The Silver Stars faced off against a strong Phoenix Mercury team, which had the number 1 seed in the Western Conference. The Silver Stars would lose Game 1 at home 102-100 on a controversial call by ref Lisa Mattingly. Mattingly called ",1,1
240938368508046301087835161754979902227,Many small forwards in professional basketball are what?,prolific scorers," re-bounders behind the Power Forwards and Centers, although a few who play as Point Forwards have considerable passing responsibilities. Many small forwards in professional basketball, however, are prolific scorers. The styles with which small forwards am",1,1
109280973975473696876936230345011650340,Since what year has the FIBA Intercontinental Cup been held?,1995," (since 1995). FIBA has in the past announced plans to expand the FIBA Intercontinental Cup to possibly include the champion teams from the FIBA Asia Champions Cup, Basketball Africa League (BAL), NBL from Australia, and possibly the NBA, at some point in ",1,1
130079283173415440021909468607880592109,What was the first place I felt I felt cheated?,,"n, averaging 1.3 points and 2.0 rebounds in 11 games. Farmer did not play him at all towards the end of the season and did not allow him to travel with the team on their last road trip to Oregon and Oregon State. ""If I ever felt cheated, that was the time ",1,2
87301867113287261428492678079435431993,When did the Utah Jazz play?,1982-1994,"cited Chamberlain's advice as the turning point in his basketball career. Professional career[] Utah Jazz (1982-1994)[] Because of his lack of playing time at UCLA, few NBA teams had interest in Eaton after he finished his college career. He paid for two t",1,1
109772980466112484303548790025863405542,When was the league founded?,1991,"e league, operated by the Basketball Federation of Slovenia, consists of 13 clubs, with the best-known internationally being the traditionally dominant Union Olimpija of Ljubljana, a regular Euroleague representative. The league was founded in 1991, shortl",1,1
73810257079336580834747460752835003657,What is the name of the game?,,t!,1,2
80527842438157807995671213795629727820,How many minutes per game did Robinson play?,30,"n to win his second Slam Dunk title with 52% of the fan vote. Robinson enjoyed his best season in 2008-2009, averaging 17.2 points per game, 4.1 assists per game, and almost 30 minutes per game. On February 23, 2009, Robinson scored 41 points and also had ",1,1
177515169552373470220963391695921420391,What type of article is this related to?,Basketball,"Kean University Logo. Kean University Location: Union, NJ This article related to Basketball is short. PLEASE do expand it! External Links[] Kean University on Wikipedia",1,2
60640228216811092654173809031441640048,What is the name of the head coach?,Brad Stevens,"Staff[] Head Coach - Brad Stevens Assistant Coaches - Ron Adams, Jamie Young, Jay Larranaga, Micah Shrewsberry http://www.nba.com/celtics/roster",1,1
81189241322883878848652438421497490912,What year was the building completed?,1964,"houses numerous physical education activities as well as all campus and community events like graduations, concerts, musicals, and multi-cultural entertainment events. Completed in 1964, the building underwent massive construction in 1997 with the addition",1,1
243163493021380695468979355493992967566,What year was the Arena renovated?,1996-1997,"nickname The Arena in Oakland, The Coliseum Arena location 7000 Coliseum WayOakland, California 94621 Broke ground April 15, 1964 opened November 9, 1966 Renovated 1996-1997 owner Oakland-Alameda County Coliseum Authority (City of Oakland and Alameda Count",1,1
66927397125790348628652299083526730511,Which player was the Rookie of the year?,Jimmy Manansala,ividual awards[] Most Valuable Player: Robert Jaworski (Toyota) Rookie of the Year: Jimmy Manansala (Tanduay) Mythical Five: *Robert Jaworski (Toyota) *Lim Eng Beng (U/Tex) *Ramon Fernandez (Toyota) *Freddie Hubalde (Crispa) *Philip Cezar (Crispa),1,2
27980280217199816553609016289532280737,How many Big Ten championships has Michigan State won?,three," appearances, three Big Ten championships and three NIT appearances. Results by season under Heathcote:[3] Tom Izzo era (1995-present)[] Since 1995, the team has been coached by Tom Izzo, who has a overall record of 369-147 as head coach at Michigan State.",1,1
202700025278878193365265774345286225109,What team did Howard trade to?,Los Angeles Lakers,", after eight seasons with Orlando, Howard was traded to the Los Angeles Lakers, with whom he spent three separate one year-stints over the course of his career, winning the NBA Finals in 2020. He has also played for the Houston Rockets, the Atlanta Hawks,",1,1
113989039792629257224489841817490197500,In what year did the Los Angeles Lakers win the NBA Finals?,2020,", after eight seasons with Orlando, Howard was traded to the Los Angeles Lakers, with whom he spent three separate one year-stints over the course of his career, winning the NBA Finals in 2020. He has also played for the Houston Rockets, the Atlanta Hawks,",1,1
137869448016174331144084866194167376333,In what year did Big 12 add ByU?,,"and its departing members, a departure date of July 2023 was settled on. Also in 2023, the Big 12 added BYU, which played football as an independent in the top tier of NCAA football, the Football Bowl Subdivision, and was a member of the non-football West ",1,2
44215399939573675091164213216616580838,Who won the 1990 NCAA Tournament?,,"y '90s under coach Jerry Pimm, highlighted by a 77-70 victory over #1 UNLV in 1990, and NCAA tournament appearances in 1988 (lost to Maryland) and 1990 (defeated Houston and lost to Michigan State). The Gauchos returned to the NCAA tournament in 2002 where",1,2
186604446909137786336424488647608215770,In what year did the Cavaliers make the playoffs?,1998,"nference Finals in 1992. After the team's playoff appearance in 1998, however, the Cavs had six consecutive losing seasons, finishing no better than 9th in the conference. Cleveland was awarded with the top overall pick in the 2003 Draft, and they selected",1,1
234626301079578877538841363861965063343,How many games to one did the Lakers win in the NBA Finals?,4,"The 1952-53 NBA season was the 7th season of the National Basketball Association (NBA). The season ended with the Minneapolis Lakers winning the NBA championship, beating the New York Knicks 4 games to 1 in the NBA Finals. Contents 1 Notable occurrences 2 ",1,1
203566402916083802333237286959098665287,Who won the game's MVP award?,orge Mikan,"orge Mikan of the Minneapolis Lakers won the game's MVP award. Final standings[] Eastern Division[] Western Division[] C - NBA Champions Statistics leaders[] Note: Prior to the 1969-70 season, league leaders in points, rebounds, and assists were determined",1,1
176378757824058261122896659739371850041,How many seats does the arena have?,"16,280","ormer athlete and administrator, who first began pushing for the arena in 1969. Its capacity is 16,280 seats, and the stadium superseded Jenison Fieldhouse. The arena's current basketball court is the same floor where the Spartans won the 2000 NCAA Men's D",1,1
311579565152024158192674978465972533485,What is the name of the error in package.lua at line 80?,,"andler/blacklist' not found.Lua error in package.lua at line 80: module 'Module:Category handler/blacklist' not found.[dead link] | ""SI.com - Best Student Sections - Feb 22, 2006"". CNN. February 22, 2006. http://sportsillustrated.cnn.com/2006/sioncampus/02",1,2
220395746072839261096391551750919412267,Crash is a self-proclaimed what?,computer geek,"he led the Cougars in rebounding and double-doubles and was second on the team in blocked shots. A self-proclaimed ""computer geek,"" Crash enjoys playing games online with friends, but he makes sure he balances that with plenty of exercise, including 150 pu",1,1
92246913046474010903889328321910508277,What team played from 2004 to 2011?,Denver Nuggets,Contents 1 Early years 2 College career 3 Professional career 3.1 New Jersey Nets (2000-2004) 3.2 Denver Nuggets (2004-2011) 3.3 Xinjiang Flying Tigers (2011) 3.4 Los Angeles Clippers (2012) 3.5 New York Knicks (2013-2014) 3.6 Milwaukee Bucks (2015) 4 Care,1,1
172128079548834306795316507749330535082,When did the Chicago Bulls play?,2009-2017,"year. In 2019, he signed with the New York Knicks, and later the Washington Wizards. Contents 1 Early life and high school career 2 College career 3 Professional career 3.1 Chicago Bulls (2009-2017) 3.2 Oklahoma City Thunder (2017) 3.3 Minnesota Timberwolv",1,1
193570698370655219902213539935597683918,What is the name of the college's men' basketball team?,Wofford Terriers,"The Wofford Terriers men's basketball team represents Wofford College in Spartanburg, South Carolina, in Division I of the NCAA. The school's team competes in the Southern Conference. The Terriers are currently coached by Mike Young. Wofford plays its home",1,1
122251128859077458987583471049703694305,When did he play for the Atlanta Hawks?,2017,"This article related to Basketball is short. PLEASE do expand it! Nicolas Brussino (March 2, 1993) is an Argentine professional basketball player who played for the Dallas Mavericks and Atlanta Hawks of the NBA. After a short stint with the Hawks in 2017, ",1,1
189647214033575522106949594291610203953,Who was on the cover of Sports Illustrated?,," his knee, but following the victory he was on the cover of Sports Illustrated rebounding a ball over Pat Riley. After his career at Texas Western, Flournoy became a teacher and basketball coach at an elementary school in El Paso, TX. Harry has 6 children;",1,2
242192028526520009231654218598550125581,When did Cook sign with the Cleveland Cavaliers?,September 2015,"g undrafted in the 2015 NBA Draft, Cook joined the Oklahoma City Thunder for the Orlando Summer League and the Cleveland Cavaliers for the Las Vegas Summer League. In September 2015, he signed with the Cavaliers, only to be waived by the team on October 24",1,1
74632698542908638319983256837702674424,Who played for the Boston Celtics?,Doc Rivers,"ograms--Sidney Lowe at North Carolina State and Craig Robinson (who never played in the NBA) at Oregon State--and two in the NBA--Doc Rivers for the Boston Celtics, and Byron Scott for the Cleveland Cavaliers. While Scott won the Coach of the Year award in",1,1
72779945679148295831593809808194311794,Who won the Player of the Year Award?,," the Year Award, losing to Jamal Crawford. On June 16, 2015, Gibson underwent arthroscopic surgery on his left ankle and was ruled out for four months. During the 2015-16 season, he appeared in 73 games and averaged 8.6 points and 6.9 rebounds. Oklahoma Ci",1,2
335165006684454206950639410940217694592,Who was the first player in NBA history to lead the league in blocks and rebounds in the same season?,Howard,"ance, where they lost in six games to the Celtics. Howard won the Defensive Player of the Year Award for the second straight year. He became the first player in NBA history to lead the league in blocks and rebounds in the same season twice--and for two yea",1,1
280328369871766349295817066299865993853,When was Gibson waived?,"January 7, 2024","th the Wizards, but was waived on October 23. Return to New York (2023-2024)[] On December 15, 2023, Gibson signed a one-year deal with the New York Knicks, returning for a second stint with the franchise. However, he was waived on January 7, 2024. Detroit",1,1
235401867921702179366324880961702615554,What is the name of the event that took place at the 2016 Summer Olympics?,,emplate:Events at the 2016 Summer Olympics Template:Basketball at the Summer Olympics,1,2
203064691538104980631565224201534187658,Who is the Prudenential Center home to?,New Jersey Nets,"Prudential Center is a multi-purpose indoor arena in the Downtown district of Newark, New Jersey. It is primarily used by two NCAA teams Seton Hall Pirates and NJIT Highlanders. Prudential Center, was home arena of the New Jersey Nets from 2010 until 2012 ",1,2
224680161441495986192939725649404292914,What is the official mascot for the Evansville Purple Aces?,,"A drawing of Ace Purple. Ace Purple is the official mascot for the Evansville Purple Aces. Origins[] In the late 1960s, Evansville Press artist Larry Hill created Ace Purple, UE's mascot. Ace Purple was created in the image of a turn-of-the-century riverbo",1,1
147728170050494795213771139983132879293,What team was Knipping a member of?,,"ng, daring, quick wit and shrewd judgment made him an outstanding representative of the Purple Aces. Knipping, responsible in large part for the Ace Purple we know today, was killed along with the University of Evansville basketball team in the Dec. 13, 19",1,2
